time,ax,ay,az,at
1.228,0.0017,-0.1248,-0.0214,0.127
1.234,0,-0.0862,-0.0864,0.122
1.239,-0.0346,-0.0548,-0.1273,0.143
1.246,-0.0453,-0.0208,-0.1988,0.205
1.249,-0.0396,0.0063,-0.2392,0.243
1.254,-0.0391,0.0169,-0.2604,0.264
1.259,-0.0132,0.0636,-0.2557,0.264
1.264,-0.0163,0.0912,-0.2132,0.232
1.269,-0.0389,0.0903,-0.1499,0.179
1.274,-0.0498,0.0656,-0.0657,0.105
1.28,-0.065,0.0458,0.0345,0.087
1.285,-0.0561,0.0092,0.1055,0.12
1.289,-0.0444,-0.0297,0.1594,0.168
1.294,-0.0609,-0.0755,0.1869,0.211
1.3,-0.0627,-0.0999,0.1954,0.228
1.304,-0.0735,-0.1148,0.1944,0.237
1.309,-0.096,-0.0941,0.1532,0.204
1.315,-0.111,-0.095,0.1219,0.19
1.32,-0.1234,-0.0699,0.0814,0.164
1.326,-0.117,-0.0522,0.0459,0.136
1.33,-0.0895,-0.0277,0.0179,0.095
1.335,-0.0481,-0.02,0.0044,0.052
1.34,-0.0168,-0.0171,-0.0257,0.035
1.345,0.0163,0.019,-0.0318,0.04
1.351,0.0322,0.0335,-0.0332,0.057
1.356,0.0501,0.0478,-0.0227,0.073
1.361,0.0751,0.0667,0.009,0.101
1.365,0.0973,0.0619,0.012,0.116
1.371,0.1219,0.0666,0.0149,0.14
1.376,0.1465,0.0572,0.0225,0.159
1.381,0.1404,0.0741,0.0396,0.164
1.386,0.1394,0.0696,0.0707,0.171
1.391,0.1247,0.0604,0.0661,0.154
1.397,0.1341,0.0346,0.0664,0.154
1.402,0.12,0.028,0.0643,0.139
1.406,0.116,0.031,0.0433,0.128
1.411,0.0882,0.0173,0.0201,0.092
1.416,0.0773,-0.0011,0.0232,0.081
1.423,0.0639,0.0184,-0.0093,0.067
1.426,0.0504,0.0211,0.0037,0.055
1.432,0.0485,0.0094,-0.0096,0.05
1.437,0.0702,0.038,0.001,0.08
1.442,0.0585,0.0304,0.0329,0.074
1.449,0.0709,0.0323,0.0933,0.122
1.454,0.0813,0.0385,0.1272,0.156
1.457,0.0851,0.016,0.1396,0.164
1.462,0.0749,0.0173,0.1141,0.138
1.467,0.0318,0.0186,0.084,0.092
1.472,0.0034,0.0248,0.0305,0.039
1.478,-0.0318,0.0217,-0.0228,0.045
1.482,-0.0574,0.0164,-0.0353,0.069
1.487,-0.0614,0.016,-0.0382,0.074
1.493,-0.0514,0.0083,-0.0008,0.052
1.499,-0.0583,0.0102,0.0364,0.069
1.502,-0.0463,0.0072,0.0447,0.065
